test_example_id,story,predicted_gender
88,כשהייתי ילד בערך כשהגעתי לגיל אני ומשפחתי נהגנו לנסוע לטיול בחגים פסח וסוכות בצפון מידי שנה אחד הזכרונות האוהבים עליי כילד פעם היינו נוסעים חברות משפחות גדולה שכולנו חברים ממקום מסויים לפעמים אלו היו חברי ילדות אבי לפעמים משפחות מקבוצת הכדורגל אחי ולפעמים דודים שלי באחת הפעמים שנסענו לצפון משפחות מהקבוצת כדורגל אחי הגדול השכרנו מיני בתים באחד הקיבוצים באזור היה מדשאה גדולה ומגרשי כדורגל הלכנו הילדים מידי יום לשחק כדורגל באחת הפעמים היה לידנו כלב מסוג זאב הכלב היה קשור החבל שבו היה קשור היה ארוך מאוד באחת הפעמים ששיחקנו הכדור לכיוונו בעקבות רצתי לכיוון להביא אותו באותו זמן הייתי מודע לכך שהחבל שקושר הכלב באמת ארוך כאשר הגעתי לכדור הכלב התחיל לרוץ אליי במהירות רבה כשקלטתי התחלתי לברוח תוך כדי שברחתי הכלב הצליח להגיע אליי הקצה החבל שלו ולנשוך אותי אני חושב שזה אחד הזכרונות שהכי חקוקים בראש לאחר הנשיכה מידי הכלב החלפנו פרטים הבעלים הכלב והייתי נורא בלחץ הייתי ילד קטן באזור גילאי אני עדיין זוכר בבירור הלחץ אבי ואימי ואת הבלאגן שהיה מסביב לאירוע הזה ניתן לומר שמלבד האירוע הנשיכה שחקוק בראש שאר הטיול היה מדהים פעם הייתי משתוקק מחדש כשיגיעו החגים ונסע למקום אחר בארץ אפשר לומר שבהסתכלות אחורה הטיולים האלו הזכרונות הכי כיפים שלי בתור ילד זאת היום כשאני רואה כלבי זאב בהרתעה מסוימת איזשהו פחד בילתי מוסבר למרות שעברו המון שנים מאותו מקרה השנים גיליתי שאני פשוט אוהב כלבים בעקבות אותו מקרה דבר שבאמת מפריע אני נוטה להאמין שבעתיד הרחוק בעקבות אותו זיכרון ארצה לגדל בעצמי כלב מנת ליצור איזשהי תיקון חוויה,m
89,החוויה שאספר עליה היא געש אני זכיתי לראות געש פעיל בחיי הלבה שמתפרצת ממנו ואפילו צילמתי כמה תמונות רעות אחרי הצבא אני ועוד חברים החלטנו לנסוע למרכז אמריקה טיול אחרי הצבא אחרי שטיילנו במקסיקו וקובה הגענו לגואטמאלה גואטמאלה ידועה בכך שנמצא אצלה געש פעיל רחוק מהעיירה אנטיגואה בשם אקטננגו מתוך חברים החליטו לצאת להר געש ואני בתוכם ההליכה היא קלה ולוקחת באזור שעות חברים שנפצעו בצבא העדיפו להישאר מאחור ולנוח כמובן שאי אפשר סתם ככה ללכת להר געש פעיל בגלל שזה מסוכן לכן עושים מסע שבו עולים להר גבוה בגובה מטר מעל פני הים וההר הזה נותן לנו נוף מצוין להר געש הפעיל ההר שמטפסים אליו נמצא קילומטר מהר הגעש ואני יודע שזה נשמע רחוק אבל חייבים מרחק בטיחות מהלבה ועדיין רואים באופן מדהים הגעש והלבה כאילו כמה עשרות מטרים מאיתנו בתנאים שתנאי הראות טובים באותו הלילה לפני היציאה למסע הצטיידנו בכמה שיותר ציוד ההר הוא גבוה והטמפרטורות מאוד נמוכות היה לנו פשוט למצוא ציוד בגלל שנסענו לטיול חופים בעיקר מצוידים בגדי וכפכפים ובהחלט מוכנים להליכה שעות ולקור שעמד להיות אבל בכל זאת היינו נחושים לראות געש פעיל ולחוות החוויה הזאת בכל זאת יום אתה מגיע לגואטמאלה ואם אנחנו כבר חייבים לנצל וללכת לראות אקטננגו הצלחנו ללקט בגדים חמים שקנינו הלוונו מחברים שהכרנו בגואטמאלה ויצאנו לדרך המדריך שלנו היה בחור חביב שהראה והסביר המון דברים בדרך ושמר עלינו מלוכדים כקבוצה כדי שלא נאבד ולא ניפצע אחרי שהגענו לפסגה התמקמנו אוהלים ובישלנו פסטה לארוחת הערב הפסטה הייתה טעימה אבל בגלל הקור האימתני שהיה במעלה ההר המנה התקררה בין רגע אבל משנה כמה היה כמה ההליכה הייתה קשה הכל היה שווה הנוף ממעלה ההר היה פשוט מדהים ובהחלט הנוף היפה שראיתי בחיי ובנוסף זכינו לראות הגעש מתפרץ במשך הלילה דבר מובן מאליו בקלות יכל להיות ערפל במשך הלילה ולא היינו רואים כלום בהחלט הרווחנו מהמזל וחווינו חוויה פעם בחיים,m
90,לפני זמן החלטתי לקנות לכלבה שלי מעיל הייתי צריך אותו מכיוון שאני וארוסתי תיכננו לצאת לטייל בצפון כאשר מצופה לנו גשם זלעפות ובכל זאת רצינו לטייל הסברתי לארוסתי שאם אנחנו רוצים שהכלבה תצטרף לטיול אנחנו חייבים מעיל לכלבה אחרת היא תירטב ותקפא מהקור לאחר מעט שיכנועים ארוסתי הסכימה ונסעתי לקנות אותו במעמד הרכישה המוכרת בחנות הסבירה טיב המעיל וכן איכותו הגבוהה ושמאוד קשה למצוא מעיל לכלבה בגודל גדול שכזה לכן כאשר נקבה במחיר המעיל השיניים שלי רעדו ישנן טבעות יהלום שעולות פחות מהמעיל הזה לאחר שבחנתי עוד מספר מקומות הבנתי שהמוכרת דוברת אמת וכי אין ברירה נרצה מעיל לכלבה אנחנו מוכרחים לקנות במחיר שקלים לאחר שרכשתי אותו חיברתי אותו לרשת במושב האחורי האופנוע שלי והתחלתי ליסוע במהלך הנסיעה היה ממש ציפיתי למזג אוויר באותו היום והחלטתי שככה אוכל לבדוק המעיל הכלבה עצרתי האופנוע בשולי הדרך וליפפתי המעיל מסביבי וחזרתי לרכב האפנוע כעבור זמן ראיתי שהמעיל ממש עושה עבודתו נאמנה שלא היה המעיל ממש גרם להזיע כשחזרתי הביתה הייתי שמח שכן קניתי מוצר טוב וארוסתי בחנה המעיל לאחר בדיקה דקדקנית היא שמה להמון קרעים קטנים במעיל שכנראה היו כבר במעמד הרכישה ולא שמתי לכך התקשרתי למוכרת והיא אמרה שהיא מכרה מוצר תקין ואני אחראי לקרעים הללו כמובן שזה היה נכון הגיוני שרכיבה פשוטה האופנוע כאשר אני מכוסה במעיל תגרום לדבר שכזה החלטתי שאני מתעמת איתה ונסעתי חזרה הדרך החנות הרמתי כולי ואמרתי שתחזיר כספי המוכרת למרבה הפתעתי רצתה לשץתף פעולה והתחילה להאשים אותי בשנית שאני שקרע המעיל הבנתי שאני ממש מתחיל להתעצבן והיו שתי אפשרויות הראשונה היא להתחרפן לצעוק ולפגוע בשמה הטוב כאשר יכנסו לקוחות לחנות והשניה הייתה לצאת הזנב בין הרגליים החלטתי שאין למריבות ויצאתי החנות ונסעתי הבייתה ארוסתי אמרה שפעלתי חכם וכעת אנחנו לאחר התנהלות תקינה נוכל לתבוע אותה בבית המשפט לתביעות קטנות החלטנו להגיש תביעה לאחר פרוצדורה מעצבנת מסובכת הגשנו הטפסים והמתנו בחלוף חמישה חודשים בית המשפט זימן אותנו ואת בעלת החנות למשפט לצערי הייתה הוכחה שאני קרעתי המעיל ולסיכום הפסדתי זמן יקר עצבים וכסף חזרנו הביתה מבואסים וקיווינו שלא ניתקל בעוד אנשים שכאלו,m
91,"לפני חודשיים עשיתי הפתעה לחברה שלי לכבוד היום הולדת שלה נסענו לצפון אירגנתי תיק לסופש שלם היא ידעה שום דבר מכל אמרתי שנוסעים להורים מפה לשם הנסיעה הייתה ארוכה מהרגיל והיא ראתה כבישים שהיא מכירה ושאלה אותי ""טוב לאן הולכים"" אמרתי חכי תראי הגענו לצפון השעה הייתה בצהריים ישר התחלתי החופשה שלנו ברכיבה סוסים ואני הבנתי ידעתי חשבתי שאני מפחד לרכב סוסים כשהזמנתי באינטרנט חשבתי בכלל כבר יכול להיות אבל כשהגעתי לסוס וראיתי הגודל שלו ואת הפער בין הגודל שלי לבין הגודל שלי הבנתי שאני בבעיה היא ממש התרגשה והיא קליברית כזאת היא מפחדת מכלום אולי היא מפחדת מלבזבז הזמן ואני התחלתי לבזבז הזמן היה אומץ לעלות הסוס היינו אולי דקות בניסיון לשכנע אותי לעלות הסוס שהוביל אותנו במסלול הציע שהוא יעלה אותי וישב לפני וזה הביך אותי היה שום סיכוי והיא כבר התחילה להתבאס ולא ידעתי להגיד וזה בכלל חופשה בשבילה עכשיו אני מפחד לעלות סוס נסגר איתי ממש התבאסתי בשבילי בשבילה בשבילנו אחרי זמן היא הסתכלה עליי בעניים ואמרה עזוב אותך בוא ניסע לצימר הכל בסדר והתאכזבתי מעצמי מאוד עליתי הסוס שקשקו הברכיים ידעתי איפה נמצא הלב שלי בצד שמאל הוא כבר היה אבל ראיתי בעיניים הרגשתי שאני עושה בשבילה דהרתי כמו חיה רעה ברמה שזה שהוביל אותנו אמר לעצור רגע שהסוס ישתגע אבל הפסקתי והיא אחריי הסוס שלה מחייכת ואנחנו דוהרים בשיא הכיף הגענו כזה לסוף השביל והיה איזושהי גדר לבנה וזה שהוביל אותנו אמר לעצור ולא הצלחתי לעצור הסוס הוא המשיך ודהר ואז דפק עצירה חזקה לפני הגדר עפתי קדימה נתקעתי באיזה שיח עוקצני וכמו שאומרים כיף כבר היה נסענו לבית חולים סיימתי שבורה ואלפי שריטות וככה סיימנו ההפתעה שבהחלט הייתה מפתיעה מאוד",f
92,בקיץ האחרון נסעתי לבקר אחי שגר בארצות הברית בעיר פרנסיסקו בעמק הסיליקון כאשר הגעתי ליעד לאחר טיסה ארוכה מאוד בערך שעות התרגשתי לראות אחי ואשתו שעברו לגור ולא ראיתי אותם יותר משנה ראיתי גשר הזהב שחלמתי לבקר בגלל שהוא אחד המקומת הפורסמים שרואים בתמונות הלכנו לטיולים בטבע ובספארי ראינו אריות ממרחק מטרים ספורים יצאנו לטיול בטבע ואיבדנו דרכנו כאשר אין לנו הרבה מים וסוללה בטלפון כבר חשבנו שאנחנו הולכים להעביר לילה בחוץ ובקור ממש נלחצנו מהסיטואציה למזלנו לאחר מספר שעות באמצע הלילה מצאנו הדרך חזרה הרכב וכל שמחנו שהלכנו באמצע הלילה לחגוג בפאב מקומי שבו אכלנו ממגוון מגאנק פוד שיש להציע הרבה ציפס המבורגרים בשר קוקטיילים משם שיצאנו מהפאב גילינו שיש לנו פאנצר בגלגל האחורי בלילה בכביש נטוש החלפנו גלגל והמשכנו בדרכנו הביתה אבל בגלל שהיינו עייפים החלטנו שנשאר לישון ברכב מסוכן לנהוג בעייפות כזאת לאחר מספר שעות שוטר דופק לנו החלון ושואל אותנו למה אנחנו ישנים כאן ולמה עצרנו הרכב השוטר היה חסר סבלנות וחששנו שלא יבין אותנו אבל הצלחנו להסביר שאנחנו נתקענו בלילה ורצינו לנהוג לאור יום כאשר הגענו לבית אחי הלכנו לבריכה כדי לנוח קצת לאחר היום המוזר שעברנו נרדמנו בשמש הקופחת ללא קרם הגנה שגרם לשריפה העור שנינו שהצטערנו עליה מאוד אחר הבנו שאנחנו צריכים להרגע חזרנו הביתה והלכנו לישון ולאכול משהו לראות טלויזיה ולתכנן היום הבא שבו רצינו ללכת ללונה פארק ולעלות הרכבות הרים המשוגעות באחת הפארקים המפחדים בעולם ביום שלאחר מכן הגענו ללונה פארק והיה ממש מגניב מתקנים מפחידים אבל תורים ארוכים מאוד בחלק מהמתקנים אחי הפחדן רצה לעלות איתי בטענה שהוא מרגיש טוב אבל ידעתי שהוא מפחד ופשוט מספר סיפורים שכנעתי אותו זאת לעשות ומאוד נהננו,m
93,"שלום לכולם שמי סתם בצחוק אסור להגיד פרטים הכל אנונימי אני אהיה קיטשית כמו כולם ואכתוב הקורונה סתם בצחוק ברור שכן זוכרים איך הכל התחיל איך הקורונה הזאת התחילה אני ממש זוכרת לפני שנה וחודש הייתי במסיבת פורים מטורפתתתתת מלא אלכוהול וריקודים ותחפושות הייתה המסיבה אחת הכייפיות שהייתי הלכנו החברות ושתינו מלא מלא מלא היה כדי כיף שחזרנו בשעה בבוקר הבייתה אחרי שאכלנו סודוך למי שלא מכיר שיא הטעים לכו לנסות דחוף אחרי כמה ימים פתאוםםםםםם אני מקבלת הודעה רצתי בהתלהבות הייתי בטוחה מהחתיך שהכרתי במסיבה פתחתי ההודעה וחשכו עיניי ""נמצא היית בקרבת חולה מאומת"" מפה לשם בידודים עניינים שיא הפחד הייתי סגורה בחדר איזה שבוע חום חוסר טעם וריח וכפי שאתם מתארים לעצמכם בום חולת קורונה וואי היה אחד הרגעים הכי מפחדים בחיי תשכחו שזה קרה בדיוק בתקופה שאף אחד ידע איך להתמודד הקקה הזה משנה בכל מקרה התקשרתי למשרד הבריאות העבירו אותי לקופת חולים הקופת חולים העבירה אותי למוקד קורונה וכו וכו וכו מפה לשם איכשהו הצלחתי להשיג תור לרופא הוא התקשר אליי אמר תדאגי הכל טוב נרגעתי ואמרתי סבבה יאללה נעבור קטן עליי הקורונה הזאת אחרי שלושה ימים הרגשה באמת הרגשתי יותר טוב וואלה היה ממש משעמם אחרי שהחלמתי היה לעשות אחרי שהרגשתי טוב אמרתי יאללה אני אתחיל ללמוד למועדי אדפוק ציונים טובים השנה מצטיינת דיקאן חובה אבל בואו חחחח בינינו בסוף נגמר במלא שעות מול המסך ולא בשביל ללמוד למבחן אלא לראות בנטפליקס כמה שיותר סרטים רומנטיים וסדרות אחרי שבועיים השתחררתי מהחדר והרגשתי כאילו זהווווו נגמר הסיפור חוזרים לחיים ואז ראיתי חדשות ואנעל העולם איזה חוזרים לחיים ואיזה לשגרה החוויה שלי מהשנה האחרונה הרבה חולי בידודים סגרים ושיעמום אגב אותו חתיך שהכרתי במסיבה היום הוא שלח הודעה",m
94,"פחד מטיסות מגיל צעיר מאוד שכל החברים טסו לחול לטיול לפני אחרי צבא אני טסתי שהמשפחה רצתה לנפוש תמיד היה בארץ מנת לאפשר להצטרף אליהם ולהיות איתם זזוגי מאוד התבאס פעם מחדש שאין לנו האפשרות לצבור זיכרונות ורגעים יפים במקומות מיוחדים בחו"" לפני שנים רציתי לנסות להתגבר הפחד ושאלתי חברה שלי היא רוצה לטוס איתי ולמרות הסיכונים היא החליטה לטוס איתי הזמנו הכרטיסים כנגד הסיכויים האמנתי שאני הולכת לעשות אמרתי לעצמי שאני חייבת להתגבר המכשול הזה כולם טסים אני יכולה היה מבחינתי אומץ לקנות כרטיס טיסה ולעלות המטוס ביום הטיסה כבר בשדה תעופה הרגשתי רעידות ופחד מתגבר הרגשתי שאני יכולה לעשות ורציתי לבטל אבל המחשבה שאם אני מבטלת החברה שלי תבטל שאומר שהיא תפסיד המון כסף בגללי יכולתי מצפונית לעשות בטח שאחרי המסעות שיכנועים שעשיתי למרות שהיא ידעה שיש פחד מטיסות היא לקחה סיכון וקנתה איתי כרטיס טיסה הראתי שלמרות שאני מפחדת לבטל הטיסה בחשבון עלינו למטוס שהפחד הוגבר בכיתי המוון ורעדתי בזמן ההמראה המון אנשים הטיסה ניסוי להרגיע אותי להביא מים ולחפש איתי דרכים לעבור הטיסה הזו ברוגע ברגע שהמטוס החל להמריא הרגשתי טישטושים והתעלפתי השכיבו אותי הריצפה והרימו רגליים כשהתעוררתי התיישבתי הכיסא והבנתי שמפה אין כבר לעשות ואנחנו הטיסה לאט לאט נרגעתי הרגשתי סיפוק עצמי ומאז הבנתי שהכל בראש שאפשר להתגבר הכל ושחבל לפספס טיולים והנאות ולראות כמה העולם יפה מאז אני שולטת הפחד ולא הפחד כבר טסתי מדינות והרגשתי שאני צריכה להספיק כמה שיותר כפיצוי הזמן שלא טסתי לפני שנה התחלתי להתנדב ולחנוך ילד בכיתה בעיות רגשיות כשהגעתי בפעם הראשונה אליו פגשתי ילד פחדים כמעט מכל דבר אפשריגובה מגלשות נדנדות לדבר ילדים בגיל שלו ועוד לאחר חצי שנה איתו גרמתי להתגבר הפחד גבהים שהיה ולראות אותו נהנה בגן שעשועים כמו ילד בגילו היה בשבילי סיפוק לגרום לבן אדם להתגבר המכשול שאני התגברתי אליו",f
95,לפני כשלוש שנים חבר הסביר טכנולוגיית הבלוקציין ועולם המטבעות הדיגיטלים הרעיון שכל אדם יכול להעביר לאדם אחר כסף ללא שלישי סקרן אותי והתחלתי ללמוד ולהתעניין בתחום לאחר תקופה שהבנתי טיפה יותר התחלתי להשקיע בביטקוין אבל האמנתי שאוכל לעשות מזה כסף הזמן ראיתי שהמטבע מזנק בעשרות אחוזים וחשבתי שאוכל להרוויח ממסחר לאחר מאמץ גדול והרבה מחקר כתבתי קוד שמייצר עסקעות קניית מטבעות דיגיטלים בבורסה בצורה אוטומטית מול שער הדולר לפני כשבוע לאחר זמן ושסכום הכסף גדל משמעותית ביום אחד הרווחתי אלפי שקלים אני מאמין שעד סוף השנה אוכל להגיע להכנסה משמעותית מתחום הקריפטו,m
96,סיפור הבריחה שלי מצפון קוריאה מתחיל בעיר הולדתי פיונגיאנג בבית גרו הוריי דודי ושמונת האחים שלי לתאר לזר לגור בצפון קוריאה שווה ערך לתאר למלך להיות עני יום הממשלה חילקה לנו אורז בצורה מוגבלת כיוון שרובנו היינו ממעמד הפעולים במשפחה קיבלנו גרם אורז שאמא שלי חילקה למנות חמישה עשר ימים וכל מנה חולקה לשלוש מנות בוקר צהריים וערב החיים היו קשים דודי היה חולה קשה והיה צריך מלוא תשומת הלב מהמשפחה בשביל להישאר בחיים אני זוכר עוד היום שהחלטתי לעזוב היה באותו היום בדיוק שדודי ידעתי שאם אני רוצה לעזוב מספר אופציות מצומצמות ושאני חייב לחבור עוד מישהו בשביל להצליח לעבור החוויה הזאתי נפגשתי חבר ילדות שלי שלא אנקוב בשמו ונקרא בסיפור ואני התחלנו לגבש תוכניות ידענו שאם ניסע לדרום קוריאה וננסה לחצות הגבול רגלי אנחנו נמות במקום בצפון לעומת זאת הגבול סין הרבה פחות מסוכן בגלל שאין שמירה חזקה כמו בדרום אבל ידענו שאם ניתפס בסין נישלח ישר חזרה לצפון קוריאה וזה בוודאות יהיה לביתנו חשבנו אולי לפנות מזרחה לכיוון יפן שדורש מאיתנו לחצות הים היפני האדיר שהיה הורג אותנו בוודאות בלי ספינה שלא יכולנו להרשות לעצמנו בגלל שהיינו עניים ואז החלטנו אנחנו נשחה מערבה דרך הים הצהוב שנגיע לדרום קוראה וככה אני לקחנו איתנו אוכל צמיג בשביל לצוף ותיקים והתחלנו לשחות לכיוון דרום קוריאה נכנסו למים בשעות הלילה המאוחרות היה קפוא המשכנו לשחות שבשלב מסוים הצמיגים הקשו עלינו להתקדם ונאלצנו להיפטר מהם ולהסתמך התיקים שיציפו אותנו בשעה ארבע לפנות בוקר ראינו סירה מזוהה שטה לעברנו התחבאנו ליד ערמה עצים שמצאנו צפים בים לאחר שהספינה שטה הרחק קשרנו העצים יחד ויצרנו מהם סוג רפסודה שעזרה לנו לצאת מהמים צפון קוריאה בשעה כבר היה חלש מאוד ולא הצליח לשחות למזלי ספינה דרום קוריאנית מצאה אותנו במים והצילה אותנו שרד היום אני בסיאול סהכ מרחק מביתי הישן ועדיין הזוועה שעברתי במעבר דרומה היא הדבר הקשה ביותר שאעבור בכל חיי,m
97,נסעתי אשתי לפני כמה חודשים לקמפינג ליד אילת זאת הייתה פעם שנייה שלי באילת נסענו הכלבה הקטנה שלנו לוסי לוסי היא כלבה שקטה ולא בעייתית אבל חולשה לאוכל היא תאכל אוכל שהיא תראה ברחוב אפילו מזבל הגענו חניון לילה שבו תכננו הקמפינג שלנו שחררונו לוסי להנות בטבע תוך כדי שהקמנו האוהל וסידרנו הציוד שלנו אחרי כמה דקות סמנו שהיא התחילה לאכול משהו היה ברור היה היה אוכל זבל פסולת אנושית אבל בקיצור עצרנו אותה וקשרנו אותה כדי שהי תמשיך לאכול בסוף הערב הלכנו לישון באוהל שלנו היה קריר לוסי נכנסה לתוך השינה אשתי כדי לישון ולהתחמם קצת באמצע הלילה באיזור בבוקר שמענו לוסי משתעלת והבנו שהיא מקיאה הבנו מספיק מהר היא הקיאה לתוך סקי השינה וכמובן בתוך האוהל ואפילו אשתי היא הקיאה שהיא הקיאה הכל אבל הבנו מהריח שהיא כנראה אכלה קקי ועכשיו הכל בתוך האוהל והציוד שלנו בגלל הריח היינו חייבים דרך לנקות הציוד ולקלח לוסי אבל היה באמצע הלילה בסוף שבוע היה למי לפנות במיוחד כלב אפשר להכנס לבתי מלון אבל עדיין ניסינו למצוא מקומות שכן מאפשרים כלב התקשרנו לכל מקום שמצאנו ברשת שלא היה ברור שאסרו כלבים כדי לבדוק אפשר לבוא לישון ולנקות עצמינו בסוף החלטני פשוט להיכנס לאוטו ולחזור הבייתה אנחנו גרים ליד חיפה הדרך מהבית לאילת לקח הרבה זמן אולי אפילו קרוב לשש שעות עצרנו כמה פעמים בדרך לאכול ולהתפנות אבל עכשיו היה אמצע הלילה והיינו מסריחים והיינו חייבים לחזור הבייתה פשוט נסענו מהר ככל האפשר דוך הבייתה בלי לעצור לדלק פיפי ולקח משהו כמו שעות הכל היינו גמורים כשהיגענו הבייתה אבל לפחות הייתה לנו מקלחת והיה אפשר להתקלח ולקלח לוסי המסריחה,m
98,קצת לפני תחילת הלימודים התחלתי לעבוד בחברה המספקת שירותי הגנה מפני התקפות DDOS עבודה ראשונה שלי בתחום ממש טביעת רגל ראשונה בהייטק כמו שזה נשמע התרגשתי מאוד בכל יום יוצא לבן אדם פשוט ידע להצליח להיכנס לחברת הייטק הגעתי למשרה דרך מכר שסיפר החברה ומה שהם עושים ואמר להרשם להבחן משרת NOC נרשמתי ואכן נאמר ללמוד כמה נושאים לראיון העבודה שילווה בבחינה מעשית במשך שבוע שלם עבודה במשרה מלאה ערב אחרי העבודה ישבתי ולמדתי ממש בלילה יום דרך הגוגל דרך היוטיוב דרך UDEMY דרך קורסים בכל מני אתרים לאחר שבוע מאוד אינטנסיבי הגיע היום הראיון יצאתי מהבית בכוונה להגיע למקום כרבעשעה לפני השעה שהייתי צריך להיות ביש מזל במשך הדרך תוכנת הוויז הוסיפה עוד דקות ועוד דקות ועוד דקות שיצא שהגעתי באיחור חצי שעה כמובן בבנוסף התבלבלתי במעלית והגעתי למקום נכון הקומה בשיפוצים חשבתי שמסתלבטים עליי בסוף אחרי טלפון למכר שבא לאסוף אותי מצאתי המקום התנצלתי מלא האיחור וגיליתי שבנוסף גרמתי איש נוספים שהגיעו לאותה הבחינה לחכות בלחץ שיא והרגשת נעימות מטורפת בגיע הרגע נכנס המנהל העתידי שאמור להיות למי מאיתנו שיעבור הראיון והבחינה הסביר החברה ועל שהיא עושה וחילק לנו הבחינות אחד קיבל בחינה שאלות מרמת ידע טכני לרמת שיקול דעת וכו הוא הסביר לנו שלחברה מאוד חשוב לקבל לחברה עובדים הגונים שיקול דעת טוב הרי כחברה שמספקת הגנה מפני התקפות סייבר אתה חייב שיקול דעת מהיר וטוב קיבלנו שעה וחצי לבחינה והוא הלך במשך השעה וחצי ישבתי וכתבתי והסברתי וציירתי עשיתי שיכלתי כדי לסיים הבחינה הצד הטוב ביותר אחרי הבחינה יצאנו להפסקת קפה בזמן שבדקו לנו המבחנים אחרי כחצי שעה המתנה נקראנו אני ועוד בחור לראיון המנהל אחרי הראיון המנהל הזמינו אותי שוב לראיון המנכל והמנהלת משאבי אנוש הארגון למזלי אחרי הראיונות האלה עברתי התהליך והתחלתי לעבוד בחברה היום כשנתיים וחצי אחרי שבחלקם ניהלתי צוות שנה התחלתי לעבוד כמפתח,m
99,זוג כבר שנתיים וממש לפני שהקורונה התחילה הוא הציע נישואים באותו יום ההצעה קבעתי חברות לנסוע לירושלים ושנעשה יום כיף כמובן שלא חשדתי בכלום כבר הרבה זמן רצינו לעשות החברות כמובן שלפני התארגנו עשיתי והתלבשתי יפה באותו יום חבר שלי בקושי היה זמין בפלאפון ולא הבנתי למה אבל חשבתי לעומק במהלך היום היינו בשוק מחנה יהודה טיילנו בעיר אכלנו במסעדה ועוד לקראת הערב החלטנו לקפוץ לכותל והלכנו לשם ברגל בדרך ראיתי רכב בול כמו חבר שלי אבל התעלמתי מזה הגענו לכותל היינו כמה דקות התפללנו ואז הבנות ממש הלחיצו שאנחנו צריכות ללכת למקום מהמם אני כבר הייתי עייפה מהיום ולא הבנתי הלחץ שלהן ללכת לשם וממש התעצבנתי וצעקתי עליהן שיפסיקו להתעקש ושנחזור כבר הביתה כבר היה וכאבו הרגליים בסוף הצליחו לשכנע אותי ללכת לאותו מקום שהיה ממש מול הכותל סוג מרפסת נוף לשם כשהתקרבנו למקום אני קולטת אותן מצחקקות ומרחוק אני רואה חבר שלי מתקרב אליי הייתי בשוק ולא הבנתי קורה חשבתי שזה במקרה שהוא הוביל אותי למרפסת הזו והתחיל להתנגן השיר שלי ושל הזוג שלי היה שביל אדום הרבה פרחים מסביב ובסוף השביל רשום התנשאי באנגלית כשעברנו בשביל היו זיקוקים ופתאום ראיתי המשפחות שלנו הפסקתי לבכות מרוב הלם ושוק כמובן שאמרתי כמובן שאחרי חברות שלי ביקשו ממני סליחה שהן הכריחו אותי ללכת לשם למרות שהן ראו שאני כבר שבורה מעייפות אבל מישהו חיכה ובסוף הרכב שהיה באמת היה שלו אבל באמת חשבתי שהוא יהיה לאחר ההצעה נסענו כולנו לבית שלו ושם חגגנו כולם ועשינו האש ופתאום הייתי כזו עייפה כמו שחשבתי מסתבר שבדיעבד הוא כבר חודשיים ניסה להציע נישואים אבל פעם נתתי לזה לקרות קבענו פעם לצימר והוא רצה להציע אבל ערב לפני הקפיצו אותי לעבודה קרה משהו ולכן נדחה בגלל הקורונה ההכנות קשות יותר ואני מקווה שלא יהיה סגר ושהאולמות ישארו פתוחים ושנחגוג כמו שצריך,f
